20.0 1.07593931659e-11
30.0 8.34029847269e-08
40.0 1.62753687913e-08
50.0 8.47619603035e-07
60.0 1.3396042648e-06
70.0 1.8173866469e-06
80.0 2.04315574217e-06
90.0 2.09564509098e-06
100.0 2.17469861055e-06
110.0 2.49606228265e-06
120.0 2.37060277568e-06
130.0 2.45846034845e-06
140.0 2.77273078982e-06
150.0 2.54831087859e-06
160.0 2.71360559187e-06
170.0 2.62197381359e-06
180.0 2.77525614885e-06
190.0 2.62071766397e-06
200.0 2.79945218244e-06
210.0 2.88317994822e-06
220.0 2.73709961274e-06
230.0 2.68591409228e-06
240.0 2.8091029439e-06
